192.168.0.127 - - [02/Sep/2018:10:48:46 +0800] "GET /data/ios/StreamingAssets/files.txt?v=20185002105003 HTTP/1.1" 404 1120
192.168.0.127 - - [02/Sep/2018:10:49:43 +0800] "GET /data/ios/StreamingAssets/files.txt?v=20185102105100 HTTP/1.1" 404 1120
127.0.0.1 - - [02/Sep/2018:11:17:32 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 1245
127.0.0.1 - - [02/Sep/2018:11:17:32 +0800] "GET /OperationAnalysis/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "POST /OperationAnalysis/login HTTP/1.1" 200 15686
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/css/datetimepicker.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/css/jquery.dataTables.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/css/index_menu.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/css/index_header.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/css/index_footer.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/js/datetimepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/js/jquery.dataTables.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/js/index_menu.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:39 +0800] "GET /OperationAnalysis/images/icon-white.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:17:45 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6031
127.0.0.1 - - [02/Sep/2018:11:17:46 +0800] "GET /OperationAnalysis/GameCCClient.swf HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2018:11:31:01 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6031
127.0.0.1 - - [02/Sep/2018:11:34:56 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6031
127.0.0.1 - - [02/Sep/2018:11:35:46 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6031
127.0.0.1 - - [02/Sep/2018:11:38:17 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6031
127.0.0.1 - - [02/Sep/2018:11:38:34 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6031
127.0.0.1 - - [02/Sep/2018:14:44:16 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 1245
