127.0.0.1 - - [04/Sep/2018:14:39:32 +0800] "GET / HTTP/1.1" 200 11452
127.0.0.1 - - [04/Sep/2018:14:39:38 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 1245
127.0.0.1 - - [04/Sep/2018:14:39:38 +0800] "GET /OperationAnalysis/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "POST /OperationAnalysis/login HTTP/1.1" 200 16057
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/css/jquery.dataTables.min.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/css/datetimepicker.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/css/index_header.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/js/index_menu.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/css/index_footer.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/js/jquery.dataTables.min.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/css/index_menu.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/js/datetimepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/images/icon-white.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Sep/2018:14:39:49 +0800] "GET /OperationAnalysis/images/icon-gray.png HTTP/1.1" 200 8955
127.0.0.1 - - [04/Sep/2018:14:39:53 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6254
127.0.0.1 - - [04/Sep/2018:14:39:53 +0800] "GET /OperationAnalysis/GameCCClient.swf HTTP/1.1" 200 2389796
127.0.0.1 - - [04/Sep/2018:14:42:22 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6254
127.0.0.1 - - [04/Sep/2018:15:21:10 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 1245
127.0.0.1 - - [04/Sep/2018:15:21:10 +0800] "GET /OperationAnalysis/css/login.css HTTP/1.1" 200 2588
127.0.0.1 - - [04/Sep/2018:15:21:10 +0800] "GET /OperationAnalysis/images/favicon.ico HTTP/1.1" 200 1245
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "POST /OperationAnalysis/login HTTP/1.1" 200 16077
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/css/index.css HTTP/1.1" 200 7111
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/css/datetimepicker.css HTTP/1.1" 200 9190
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/css/jquery.dataTables.min.css HTTP/1.1" 200 15802
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/js/highcharts.js HTTP/1.1" 200 153258
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/js/jquery.dataTables.min.js HTTP/1.1" 200 77511
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/js/index_menu.js HTTP/1.1" 200 144
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/js/jquery.js HTTP/1.1" 200 93107
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/css/index_footer.css HTTP/1.1" 200 80
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/css/index_menu.css HTTP/1.1" 200 1087
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/css/index_header.css HTTP/1.1" 200 2978
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/js/datetimepicker.js HTTP/1.1" 200 41872
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/images/icon-white.png HTTP/1.1" 200 5119
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/images/icon-gray.png HTTP/1.1" 200 8955
127.0.0.1 - - [04/Sep/2018:15:21:17 +0800] "GET /OperationAnalysis/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [04/Sep/2018:15:21:19 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6254
127.0.0.1 - - [04/Sep/2018:15:21:19 +0800] "GET /OperationAnalysis/GameCCClient.swf HTTP/1.1" 200 2389805
127.0.0.1 - - [04/Sep/2018:15:22:00 +0800] "GET /OperationAnalysis/gccServer.jsp HTTP/1.1" 200 6254
